fund_id,fund_name,manager_name,manager_status,completeness_score,status,enrichment_state,official_fund_profile_url,manager_logo_url,prospectus_url,factsheet_url,subscription_frequency,subscription_minimum,subscription_fee,redemption_frequency,redemption_fee,custodian,administrator,auditor,sponsor,missing_fields
sarwaty__ci_asset_management,Sarwaty,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
afaaq__arab_african_investment_management,Afaaq,Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/afaaq,,https://aaim.com.eg/en/file/400/c4b5ca31/Afaaq+Prospectus.pdf,https://aaim.com.eg/en/file/503/c8adca54/AFAQ+Fact+Sheet-July+2026.pdf,Daily,100,Free,Daily,Free,Banque du Caire,ServFund,,Afaaq Investment Co.,manager_logo_url|auditor
ci_fixed_income_fund__ci_asset_management,*CI Fixed Income Fund,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
cash_mubasher__mubasher_asset_management,Cash Mubasher,Mubasher Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
naeem_misr_fund__naeem_for_financial_investments,Naeem Misr Fund,Naeem for Financial Investments,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
azimut_target_maturity_fund_target_2029_usd__azimut_egypt_asset_management,Azimut Target Maturity Fund-Target 2029 USD,Azimut Egypt Asset Management,known,50.0,PARTIAL,PARTIAL,https://azimut.eg/fundpage;name=az-asthkak-t29-usd-2,https://api.azimut.eg/storage/entities/November2023/q5uh5R2ygOQfrAsaTOXC.jpg,https://api.azimut.eg/storage/funds/July2024/I773eGr75ex0t3LtQ8Bq.pdf,https://api.azimut.eg/storage/funds/August2026/nrHOewMqq9WRVtWaJ9Tp.pdf,During the initial subs. phase or if the investment manager decided to make a re-open for a limited period,,,Monthly,,,,,,subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
zaldi_el_masry__zaldi_investments,Zaldi El Masry,Zaldi Investments,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
bareeq__arab_african_investment_management,Bareeq,Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/bareeq,,https://aaim.com.eg/en/file/402/e013dbf8/Bareeq+Prospectus.pdf,https://aaim.com.eg/en/file/494/9ba9fbf4/Bariq+Fact+Sheet-July+2026.pdf,Daily,50,Free,Daily,Free,Ahli United Bank,Catalyst,,Bareeq Investment Co.,manager_logo_url|auditor
ebank_fund_ii__azimut_egypt_asset_management,Ebank Fund II,Azimut Egypt Asset Management,known,64.3,HIGH,HIGH,https://azimut.eg/fundpage;name=ebank-2,https://api.azimut.eg/storage/entities/November2023/q5uh5R2ygOQfrAsaTOXC.jpg,https://api.azimut.eg/storage/funds/April2025/LQuy0Q2iImDCE4GZrpJO.pdf,https://api.azimut.eg/storage/funds/October2024/9OUfIjm2tZRMIzt8WAr1.pdf,Daily,,0,Daily,0.0,,,,,subscription_minimum|custodian|administrator|auditor|sponsor
diamond__arab_african_investment_management,Diamond,Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/diamond,,https://aaim.com.eg/en/file/488/afaccb33/Diamond+prospects.pdf,https://aaim.com.eg/en/file/499/6c8fc2f8/Diamond+%281%29.pdf,Daily,10,Free,Daily,Free,Ahli United Bank,Catalyst,,AAIH,manager_logo_url|auditor
